* Measurement data saved by REW V5.13 Beta 7
* Source: Microphone (Umik-1  Gain: 18dB  ), MICROPHONE (Master Volume), Left channel, volume: 0.530
* Format:   1M Log Swept Sine, 1 sweep at -23.0 dB FS
* Dated: 12-Sep-2015 19:46:57
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Sep 12 19:46:57
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
353.760 98.497 -15.309
354.126 98.349 -15.332
354.492 98.159 -15.216
354.858 97.940 -14.741
355.225 97.730 -13.770
355.591 97.577 -12.357
355.957 97.516 -10.770
356.323 97.545 -9.364
356.689 97.632 -8.391
357.056 97.733 -7.894
357.422 97.817 -7.746
357.788 97.877 -7.773
358.154 97.925 -7.869
358.521 97.973 -8.045
358.887 98.026 -8.397
359.253 98.070 -9.012
359.619 98.079 -9.884
359.985 98.034 -10.892
360.352 97.926 -11.836
360.718 97.768 -12.515
361.084 97.587 -12.803
361.450 97.416 -12.704
361.816 97.281 -12.342
362.183 97.188 -11.902
362.549 97.128 -11.538
362.915 97.082 -11.318
363.281 97.029 -11.216
363.647 96.960 -11.153
364.014 96.873 -11.035
364.380 96.773 -10.785
364.746 96.669 -10.355
365.112 96.572 -9.735
365.479 96.490 -8.937
365.845 96.430 -7.985
366.211 96.397 -6.893
366.577 96.399 -5.669
366.943 96.448 -4.339
367.310 96.561 -2.994
367.676 96.749 -1.812
368.042 97.005 -1.029
368.408 97.303 -0.848
368.774 97.601 -1.355
369.141 97.858 -2.489
369.507 98.043 -4.072
369.873 98.144 -5.869
370.239 98.166 -7.660
370.605 98.127 -9.287
370.972 98.050 -10.693
371.338 97.956 -11.912
371.704 97.852 -13.031
372.070 97.734 -14.127
372.437 97.588 -15.213
372.803 97.404 -16.224
373.169 97.175 -17.036
373.535 96.911 -17.505
373.901 96.629 -17.517
374.268 96.360 -17.028
374.634 96.132 -16.099
375.000 95.969 -14.886
375.366 95.877 -13.600
375.732 95.847 -12.437
376.099 95.857 -11.517
376.465 95.882 -10.862
376.831 95.902 -10.417
377.197 95.909 -10.090
377.563 95.903 -9.797
377.930 95.888 -9.485
378.296 95.870 -9.139
378.662 95.853 -8.763
379.028 95.841 -8.374
379.395 95.832 -7.988
379.761 95.825 -7.620
380.127 95.816 -7.275
380.493 95.800 -6.938
380.859 95.774 -6.567
381.226 95.737 -6.089
381.592 95.697 -5.435
381.958 95.671 -4.568
382.324 95.676 -3.521
382.690 95.725 -2.392
383.057 95.821 -1.307
383.423 95.957 -0.374
